Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Belgium,BEL,..,48.7000007629395,49.5999984741211,49.9000015258789,49.0999984741211,49.4000015258789,49.2000007629395,49,48.7999992370605,48.7999992370605,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Belize,BLZ,..,54.9000015258789,58.4000015258789,59,57.7000007629395,58.2999992370605,57.4000015258789,56.0999984741211,58,58.2000007629395,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Benin,BEN,..,71.8000030517578,71.6999969482422,71.8000030517578,71.8000030517578,72,72,72.0999984741211,72.0999984741211,72.1999969482422,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Bhutan,BTN,..,65.5999984741211,68.8000030517578,68.5999984741211,68.1999969482422,69.0999984741211,69.5999984741211,70.5999984741211,70.4000015258789,70.6999969482422,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Bolivia,BOL,..,67.0999984741211,67.9000015258789,69.6999969482422,69.5,69.9000015258789,70.3000030517578,70.4000015258789,70.5999984741211,70.5999984741211,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Bosnia and Herzegovina,BIH,..,33.9000015258789,31.1000003814697,34.2000007629395,33.9000015258789,32.9000015258789,32.7000007629395,32.5,32.9000015258789,32.7000007629395,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Botswana,BWA,..,58.4000015258789,62.0999984741211,59.5,62.4000015258789,62.9000015258789,63,63.0999984741211,63.2000007629395,62.7999992370605,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Brazil,BRA,..,61.7000007629395,63.9000015258789,64.6999969482422,64,64.5,65.3000030517578,65.5999984741211,65.3000030517578,65,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Brunei Darussalam,BRN,..,64.9000015258789,63.7000007629395,63.2999992370605,62.9000015258789,62.5,62.2000007629395,61.9000015258789,61.5999984741211,61.2999992370605,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Bulgaria,BGR,..,41.7999992370605,50,52,50.5999984741211,47.9000015258789,46.5999984741211,46.5999984741211,46.4000015258789,47.2000007629395,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Burkina Faso,BFA,..,80.8000030517578,80.6999969482422,80.8000030517578,80.8000030517578,80.8000030517578,80.8000030517578,80.6999969482422,80.6999969482422,80.6999969482422,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Burundi,BDI,..,78.0999984741211,76.4000015258789,76.3000030517578,76.3000030517578,76.4000015258789,76.5999984741211,76.6999969482422,76.9000015258789,77,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Cabo Verde,CPV,..,57.5999984741211,59.2999992370605,59.5999984741211,59.9000015258789,60.2999992370605,60.7000007629395,61,61.4000015258789,61.5999984741211,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Cambodia,KHM,..,76.5999984741211,81.4000015258789,82.1999969482422,82.4000015258789,82.1999969482422,82.1999969482422,82.3000030517578,82.1999969482422,82.1999969482422,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Cameroon,CMR,..,64.5,66.5,66.5999984741211,66.5999984741211,67,67.0999984741211,67.3000030517578,67.4000015258789,67.3000030517578,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Canada,CAN,..,60.7999992370605,63.0999984741211,63.2000007629395,61.2000007629395,61.2999992370605,61.5,61.5,61.5,61.5,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Central African Republic,CAF,..,72.5,72.9000015258789,73,73.0999984741211,73.1999969482422,73.1999969482422,73.3000030517578,72.9000015258789,72.9000015258789,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Chad,TCD,..,66.8000030517578,66.5999984741211,66.5999984741211,66.5999984741211,66.5999984741211,66.5,66.5999984741211,66.5,66.5999984741211,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Chile,CHL,..,49.7000007629395,52.5,53.2999992370605,52.0999984741211,55.4000015258789,57.2000007629395,57.5999984741211,58.0999984741211,58,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,China,CHN,..,73.5999984741211,69.4000015258789,68.5,68.0999984741211,67.8000030517578,67.9000015258789,68,68,68,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Colombia,COL,..,53.9000015258789,56.7000007629395,57.2000007629395,58.7999992370605,59.0999984741211,59.7999992370605,60.2000007629395,60.9000015258789,60.7000007629395,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Comoros,COM,..,51,52.7999992370605,53.0999984741211,53.4000015258789,53.5999984741211,53.7999992370605,53.9000015258789,53.9000015258789,53.9000015258789,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,"Congo, Dem. Rep.",ZAR,..,66.3000030517578,66,66,66,66,66,66,66,66.1999969482422,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,"Congo, Rep.",COG,..,63.7000007629395,65.4000015258789,65.5999984741211,65.8000030517578,66,66,66.0999984741211,66.0999984741211,66.0999984741211,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Costa Rica,CRI,..,56.5,60.2999992370605,59.5999984741211,57.5999984741211,58.0999984741211,58,58,57.5999984741211,57.7999992370605,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Cote d'Ivoire,CIV,..,63.7999992370605,64.5,64.5,64.5999984741211,64.5999984741211,64.5999984741211,64.5999984741211,64.5,64.5999984741211,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Croatia,HRV,..,45,48,48.5,47.9000015258789,46,44.7000007629395,43.2000007629395,42.4000015258789,42.7000007629395,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Cuba,CUB,..,51,53.4000015258789,54.0999984741211,55.5,55.2000007629395,54.7999992370605,54.9000015258789,54.9000015258789,54.9000015258789,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Cyprus,CYP,..,57.7999992370605,61.5,61.5999984741211,60.5,60.2999992370605,58.5999984741211,56,53.5999984741211,53.9000015258789,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Czech Republic,CZE,..,55.0999984741211,55.7000007629395,55.9000015258789,54.7000007629395,54.0999984741211,54.4000015258789,54.5999984741211,55.4000015258789,55.9000015258789,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Denmark,DNK,..,62.7999992370605,63.4000015258789,63.7999992370605,61.4000015258789,59.5,59.0999984741211,58.5,58.0999984741211,58.2999992370605,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Dominican Republic,DOM,..,54.2999992370605,54.9000015258789,55.7999992370605,55.4000015258789,56.7999992370605,55.2999992370605,55.2999992370605,55.0999984741211,55.0999984741211,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Ecuador,ECU,..,62,65.5999984741211,63.9000015258789,63.2000007629395,64.5999984741211,65.3000030517578,65.5999984741211,65.6999969482422,65.5999984741211,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,"Egypt, Arab Rep.",EGY,..,42,43.5999984741211,43.9000015258789,43.7999992370605,44.2000007629395,42.9000015258789,42.7999992370605,42.5999984741211,42.7999992370605,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,El Salvador,SLV,..,56.2999992370605,56.9000015258789,57.5999984741211,57,57.5,57.7999992370605,58.2000007629395,58.4000015258789,58.4000015258789,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Equatorial Guinea,GNQ,..,81.4000015258789,80.6999969482422,80.6999969482422,80.5,80.5999984741211,80.5999984741211,80.6999969482422,80.5999984741211,79.8000030517578,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Eritrea,ERI,..,76.1999969482422,77.6999969482422,77.9000015258789,78.3000030517578,78.4000015258789,78.5999984741211,78.6999969482422,78.6999969482422,78.6999969482422,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Estonia,EST,..,50.7999992370605,58.0999984741211,58.2999992370605,53.0999984741211,51,54.5,55.5,56.5999984741211,57.2999992370605,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Ethiopia,ETH,..,75.4000015258789,79.9000015258789,79.8000030517578,79.8000030517578,79.5999984741211,79.4000015258789,79.0999984741211,79.5,79.3000030517578,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Fiji,FJI,..,52.9000015258789,50.4000015258789,50.0999984741211,50.2000007629395,50.2999992370605,50.2999992370605,50.2999992370605,50.4000015258789,50.5999984741211,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Finland,FIN,..,55.7000007629395,57.5,58,55.9000015258789,55.2000007629395,55.5999984741211,55.5,54.9000015258789,54.2999992370605,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,France,FRA,..,49.7000007629395,51.4000015258789,51.7999992370605,51.0999984741211,50.9000015258789,50.7999992370605,50.5999984741211,50.0999984741211,50.2000007629395,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Gabon,GAB,..,47.7999992370605,46.9000015258789,47,47.0999984741211,47.9000015258789,48,48.2999992370605,48.5,49,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,"Gambia, The",GMB,..,71.6999969482422,72,72,72.0999984741211,72.0999984741211,72,72,72,72,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Georgia,GEO,..,56.7999992370605,55,53.0999984741211,53,53.5,54.5999984741211,55,55.5,56.5999984741211,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Germany,DEU,..,53.7000007629395,54,54.7000007629395,54.7000007629395,55.0999984741211,56.2999992370605,56.5999984741211,56.7000007629395,56.9000015258789,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Ghana,GHA,..,66.9000015258789,66.6999969482422,65.6999969482422,67.1999969482422,65.1999969482422,65.9000015258789,66.5999984741211,68.0999984741211,67.8000030517578,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Greece,GRC,..,46.7000007629395,49,49.2999992370605,48.7000007629395,47.2999992370605,44,40.2999992370605,38.7000007629395,39.0999984741211,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Guatemala,GTM,..,62.2000007629395,65.1999969482422,65.0999984741211,65.0999984741211,64.9000015258789,64.6999969482422,65.6999969482422,65.6999969482422,65.9000015258789,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Guinea,GIN,..,69.4000015258789,69.9000015258789,69.9000015258789,70.4000015258789,70.5999984741211,70.5999984741211,70.6999969482422,70.6999969482422,70.6999969482422,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Guinea-Bissau,GNB,..,65.9000015258789,67.6999969482422,67.9000015258789,68,68.1999969482422,68.1999969482422,68.1999969482422,68.3000030517578,68.3000030517578,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Guyana,GUY,..,53.4000015258789,54,53.5999984741211,54,54.2999992370605,54.5,54.5,54.5,54.5,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Haiti,HTI,..,58.0999984741211,59.7000007629395,59.7999992370605,60.2000007629395,59.9000015258789,60.9000015258789,61,61.2999992370605,61.5,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Honduras,HND,..,63.4000015258789,59.7999992370605,59.7999992370605,59.9000015258789,59.2000007629395,59.5999984741211,60,60.2000007629395,60.4000015258789,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,"Hong Kong SAR, China",HKG,..,57.7000007629395,58.5,58.4000015258789,57.4000015258789,56.9000015258789,57.2999992370605,57.2000007629395,57,56.7999992370605,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Hungary,HUN,..,46,46.5999984741211,46.0999984741211,45,44.9000015258789,45.4000015258789,46.2000007629395,46.5999984741211,47.9000015258789,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Iceland,ISL,..,75.0999984741211,74.6999969482422,73.5,68.9000015258789,68.9000015258789,68.5999984741211,69.5,69.8000030517578,70.0999984741211,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,India,IND,..,56.5999984741211,56.4000015258789,55.0999984741211,54.2000007629395,53.5,52.7999992370605,52.2000007629395,52.2000007629395,52.2000007629395,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Indonesia,IDN,..,63.2999992370605,61.5999984741211,62,62.5,63,63.2999992370605,63.7000007629395,63.5,63.5,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,"Iran, Islamic Rep.",IRN,..,38.9000015258789,40.7000007629395,38.7999992370605,38.5,38.2000007629395,38.5999984741211,39,39.2999992370605,39.5999984741211,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Iraq,IRQ,..,33.7000007629395,34.5999984741211,35.2999992370605,35.5,35.5999984741211,35.7000007629395,35.7999992370605,35.9000015258789,35.4000015258789,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Ireland,IRL,..,56.5,60.5999984741211,59.2999992370605,54.5,52.5,51.5999984741211,51.2999992370605,52.5999984741211,53.4000015258789,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Isle of Man,IMY,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Israel,ISR,..,49.4000015258789,52.2999992370605,53.2000007629395,52.7000007629395,53.5,54.2000007629395,59.2999992370605,59.4000015258789,59.0999984741211,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Italy,ITA,..,42.5999984741211,45.7999992370605,45.7999992370605,44.7000007629395,44.2000007629395,44.0999984741211,43.7999992370605,43.0999984741211,43.0999984741211,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Jamaica,JAM,..,57.7000007629395,60.5,59.7000007629395,57.2999992370605,55.5,55.0999984741211,54.7000007629395,53.7999992370605,55,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Japan,JPN,..,59.4000015258789,58.0999984741211,57.9000015258789,57,57.0999984741211,56.5,56.2999992370605,56.7999992370605,56.9000015258789,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Jordan,JOR,..,36.2000007629395,36.5,36.5999984741211,37.4000015258789,37.0999984741211,36.5,36.2000007629395,36.2999992370605,37.2000007629395,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Kazakhstan,KAZ,..,61.2000007629395,65.1999969482422,66.1999969482422,66.5,67.4000015258789,68,68.4000015258789,68.6999969482422,69.6999969482422,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Kenya,KEN,..,61.5,59.4000015258789,59.7000007629395,60,60.2999992370605,60.5999984741211,60.9000015258789,61.0999984741211,61.2000007629395,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,"Korea, Dem. People’s Rep.",PRK,..,77.5999984741211,75.5999984741211,75.1999969482422,75,75,75,74.8000030517578,74.8000030517578,74.6999969482422,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,"Korea, Rep.",KOR,..,58.2999992370605,59.4000015258789,58.9000015258789,58,58.0999984741211,58.5,58.9000015258789,59.0999984741211,58.7999992370605,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Kuwait,KWT,..,67.0999984741211,66.4000015258789,66,66.4000015258789,66.4000015258789,65.4000015258789,65.8000030517578,66.0999984741211,66.5,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Kyrgyz Republic,KGZ,..,60,60.4000015258789,60.5,60.5,60.5999984741211,61,61.4000015258789,61.7999992370605,62.4000015258789,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Lao PDR,LAO,..,78.4000015258789,77,76.8000030517578,76.5999984741211,76.5,76.5,76.5,76.5999984741211,76.6999969482422,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Latvia,LVA,..,48.0999984741211,57,57.4000015258789,50.2000007629395,47.9000015258789,49.2999992370605,51.2000007629395,53.4000015258789,54.7999992370605,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Lebanon,LBN,..,40.4000015258789,42.2999992370605,43.2000007629395,43.7000007629395,43.7999992370605,44,44.2999992370605,44.5999984741211,44.7000007629395,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Lesotho,LSO,..,54.0999984741211,48.7999992370605,48.9000015258789,46.7999992370605,47.0999984741211,45.9000015258789,47.9000015258789,49.7999992370605,48.9000015258789,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Liberia,LBR,..,57.7000007629395,57.5,57.9000015258789,58.2999992370605,58.9000015258789,59.0999984741211,59.2000007629395,59.2999992370605,59.2999992370605,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Libya,LBY,..,41.4000015258789,43.0999984741211,43.2999992370605,43.5,43.5,43.7999992370605,42.9000015258789,42.7999992370605,42.5999984741211,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
